Time[s] MLII[mV] MLII_Filtered[mV] V5[mV] V5_Filterred[mV]
0.525 -0.325 -0.332717 -0.25 -0.243359
0.528 -0.335 -0.328269 -0.25 -0.234508
0.531 -0.34 -0.322594 -0.235 -0.224514
0.533 -0.315 -0.316175 -0.22 -0.214444
0.536 -0.3 -0.308099 -0.195 -0.20561
0.539 -0.3 -0.300868 -0.19 -0.197256
0.542 -0.29 -0.294933 -0.19 -0.190072
0.544 -0.295 -0.290794 -0.19 -0.181626
0.547 -0.29 -0.285085 -0.18 -0.175046
0.55 -0.285 -0.278101 -0.16 -0.166447
0.553 -0.275 -0.270507 -0.145 -0.159539
0.556 -0.255 -0.263714 -0.15 -0.155842
0.558 -0.25 -0.259691 -0.16 -0.154188
0.561 -0.25 -0.256729 -0.16 -0.154076
0.564 -0.265 -0.25321 -0.155 -0.15409
0.567 -0.255 -0.250384 -0.145 -0.153194
0.569 -0.245 -0.247808 -0.14 -0.152342
0.572 -0.23 -0.245909 -0.16 -0.15362
0.575 -0.245 -0.245376 -0.15 -0.155789
0.578 -0.245 -0.244787 -0.175 -0.158341
0.581 -0.255 -0.245686 -0.17 -0.158838
0.583 -0.255 -0.247081 -0.16 -0.157823
0.586 -0.24 -0.247494 -0.16 -0.157949
0.589 -0.25 -0.247733 -0.15 -0.158887
0.592 -0.255 -0.248741 -0.155 -0.160342
0.594 -0.245 -0.251652 -0.16 -0.161411
0.597 -0.255 -0.253452 -0.17 -0.160337
0.6 -0.25 -0.254805 -0.155 -0.159197
0.603 -0.25 -0.254696 -0.155 -0.158952
0.606 -0.265 -0.25686 -0.15 -0.159519
0.608 -0.26 -0.259287 -0.165 -0.162699
0.611 -0.26 -0.262906 -0.175 -0.165369
0.614 -0.265 -0.265121 -0.165 -0.165856
0.617 -0.27 -0.266301 -0.165 -0.165652
0.619 -0.265 -0.267777 -0.16 -0.164567
0.622 -0.26 -0.270337 -0.16 -0.164645
0.625 -0.275 -0.271831 -0.18 -0.165494
0.628 -0.28 -0.274181 -0.175 -0.167916
0.631 -0.29 -0.275163 -0.185 -0.16922
0.633 -0.275 -0.274604 -0.165 -0.169464
0.636 -0.27 -0.274817 -0.15 -0.170659
0.639 -0.26 -0.27544 -0.15 -0.173217
0.642 -0.28 -0.276064 -0.17 -0.177228
0.644 -0.28 -0.276082 -0.185 -0.178915
0.647 -0.285 -0.276782 -0.195 -0.180402
0.65 -0.275 -0.27583 -0.19 -0.181419
0.653 -0.275 -0.274747 -0.19 -0.183772
0.656 -0.265 -0.274753 -0.185 -0.18803
0.658 -0.27 -0.276375 -0.19 -0.19265
0.661 -0.285 -0.279003 -0.21 -0.197565
0.664 -0.29 -0.280585 -0.195 -0.201093
0.667 -0.28 -0.282296 -0.19 -0.201613
0.669 -0.275 -0.283663 -0.18 -0.20084
0.672 -0.285 -0.287009 -0.205 -0.201376
0.675 -0.28 -0.290824 -0.215 -0.203558
0.678 -0.3 -0.29464 -0.225 -0.205087
0.681 -0.3 -0.296997 -0.21 -0.205853
0.683 -0.305 -0.298576 -0.205 -0.204724
0.686 -0.295 -0.298022 -0.195 -0.203405
0.689 -0.3 -0.298669 -0.2 -0.203071
0.692 -0.31 -0.299443 -0.195 -0.204001
0.694 -0.31 -0.300093 -0.21 -0.203879
0.697 -0.305 -0.299578 -0.215 -0.20346
0.7 -0.295 -0.298096 -0.205 -0.201746
0.703 -0.285 -0.296326 -0.185 -0.202692
0.706 -0.285 -0.295319 -0.195 -0.204993
0.708 -0.29 -0.296267 -0.195 -0.207581
0.711 -0.295 -0.297708 -0.22 -0.208655
0.714 -0.31 -0.298107 -0.22 -0.209627
0.717 -0.29 -0.297231 -0.21 -0.210525
0.719 -0.295 -0.297066 -0.215 -0.212087
0.722 -0.3 -0.299426 -0.22 -0.212509
0.725 -0.305 -0.303222 -0.22 -0.215328
0.728 -0.31 -0.306401 -0.225 -0.218074
0.731 -0.325 -0.308513 -0.21 -0.220016
0.733 -0.31 -0.309057 -0.2 -0.219037
0.736 -0.3 -0.308821 -0.21 -0.219202
0.739 -0.29 -0.309292 -0.225 -0.218254
0.742 -0.31 -0.310634 -0.23 -0.219657
0.744 -0.325 -0.313233 -0.225 -0.220708
0.747 -0.33 -0.314274 -0.22 -0.220275
0.75 -0.315 -0.314827 -0.23 -0.219539
0.753 -0.3 -0.31475 -0.21 -0.218565
0.756 -0.305 -0.315193 -0.215 -0.218517
0.758 -0.31 -0.315162 -0.215 -0.218962
0.761 -0.32 -0.317037 -0.23 -0.218298
0.764 -0.33 -0.316827 -0.215 -0.215887
0.767 -0.325 -0.315405 -0.22 -0.214011
0.769 -0.315 -0.312148 -0.205 -0.213414
0.772 -0.31 -0.30982 -0.205 -0.214828
0.775 -0.305 -0.309513 -0.21 -0.216358
0.778 -0.305 -0.310158 -0.215 -0.21619
0.781 -0.31 -0.308547 -0.225 -0.216891
0.783 -0.3 -0.305023 -0.215 -0.215884
0.786 -0.305 -0.301203 -0.215 -0.214055
0.789 -0.29 -0.298687 -0.215 -0.213143
0.792 -0.3 -0.297772 -0.225 -0.21456
0.794 -0.3 -0.298259 -0.225 -0.215245
0.797 -0.305 -0.299377 -0.225 -0.215912
0.8 -0.305 -0.300307 -0.205 -0.216077
0.803 -0.29 -0.300122 -0.195 -0.215783
0.806 -0.28 -0.299217 -0.21 -0.216688
0.808 -0.295 -0.298248 -0.21 -0.218714
0.811 -0.305 -0.298447 -0.215 -0.220742
0.814 -0.315 -0.297025 -0.235 -0.22169
0.817 -0.305 -0.294876 -0.23 -0.221188
0.819 -0.295 -0.292658 -0.22 -0.220467
0.822 -0.29 -0.289897 -0.22 -0.220883
0.825 -0.28 -0.286683 -0.23 -0.221227
0.828 -0.27 -0.282705 -0.225 -0.220221
0.831 -0.275 -0.277295 -0.23 -0.217386
0.833 -0.275 -0.269318 -0.215 -0.211469
0.836 -0.27 -0.259021 -0.195 -0.206187
0.839 -0.25 -0.250391 -0.195 -0.202146
0.842 -0.25 -0.242555 -0.19 -0.197395
0.844 -0.255 -0.236569 -0.2 -0.194039
0.847 -0.225 -0.231267 -0.195 -0.190427
0.85 -0.22 -0.226286 -0.18 -0.18627
0.853 -0.205 -0.22212 -0.17 -0.182694
0.856 -0.2 -0.218496 -0.18 -0.181273
0.858 -0.205 -0.215933 -0.175 -0.180276
0.861 -0.215 -0.215943 -0.195 -0.180597
0.864 -0.23 -0.217632 -0.195 -0.179943
0.867 -0.22 -0.220137 -0.17 -0.177945
0.869 -0.225 -0.219461 -0.175 -0.177323
0.872 -0.225 -0.218109 -0.175 -0.176876
0.875 -0.225 -0.220028 -0.18 -0.178191
0.878 -0.23 -0.221294 -0.185 -0.17968
0.881 -0.235 -0.223684 -0.185 -0.181107
0.883 -0.24 -0.225613 -0.175 -0.181734
0.886 -0.235 -0.228864 -0.175 -0.184305
0.889 -0.22 -0.234022 -0.175 -0.187073
0.892 -0.21 -0.241427 -0.19 -0.192113
0.894 -0.205 -0.250363 -0.205 -0.196553
0.897 -0.245 -0.259526 -0.2 -0.198864
0.9 -0.285 -0.268606 -0.205 -0.2005
0.903 -0.285 -0.277059 -0.205 -0.202757
0.906 -0.3 -0.285585 -0.215 -0.205579
0.908 -0.31 -0.294972 -0.215 -0.210755
0.911 -0.33 -0.304581 -0.225 -0.215342
0.914 -0.33 -0.313682 -0.215 -0.21846
0.917 -0.325 -0.322367 -0.21 -0.220646
0.919 -0.315 -0.328191 -0.2 -0.222416
0.922 -0.32 -0.332949 -0.215 -0.224477
0.925 -0.315 -0.333821 -0.225 -0.228035
0.928 -0.325 -0.335003 -0.245 -0.22984
0.931 -0.34 -0.337697 -0.245 -0.230866
0.933 -0.345 -0.337252 -0.25 -0.231623
0.936 -0.34 -0.336523 -0.225 -0.232618
0.939 -0.34 -0.337135 -0.23 -0.234765
0.942 -0.35 -0.339439 -0.235 -0.237126
0.944 -0.345 -0.341697 -0.24 -0.237684
0.947 -0.355 -0.342741 -0.235 -0.236543
0.95 -0.33 -0.341267 -0.235 -0.233186
0.953 -0.335 -0.339135 -0.22 -0.230541
0.956 -0.33 -0.337102 -0.23 -0.228803
0.958 -0.32 -0.334632 -0.24 -0.229349
0.961 -0.345 -0.33163 -0.24 -0.230106
0.964 -0.355 -0.330371 -0.245 -0.232277
0.967 -0.34 -0.329926 -0.225 -0.235953
0.969 -0.33 -0.330884 -0.225 -0.244902
0.972 -0.325 -0.335351 -0.235 -0.260129
0.975 -0.33 -0.345646 -0.25 -0.279869
0.978 -0.35 -0.36475 -0.27 -0.297947
0.981 -0.365 -0.387962 -0.28 -0.309683
0.983 -0.36 -0.414678 -0.29 -0.312988
0.986 -0.38 -0.440214 -0.3 -0.310379
0.989 -0.425 -0.465869 -0.33 -0.302955
0.992 -0.445 -0.487971 -0.36 -0.288146
0.994 -0.475 -0.498604 -0.355 -0.263356
0.997 -0.51 -0.487282 -0.305 -0.22069
1 -0.535 -0.447561 -0.205 -0.157502
1.003 -0.505 -0.375881 -0.08 -0.0736319
1.006 -0.415 -0.271765 0.015 0.0211017
1.008 -0.3 -0.139006 0.065 0.111435
1.011 -0.16 0.0136728 0.115 0.186744
1.014 -0.015 0.171878 0.19 0.239336
1.017 0.235 0.31684 0.3 0.266535
1.019 0.49 0.43753 0.41 0.265412
1.022 0.72 0.527071 0.495 0.237318
1.025 0.875 0.579874 0.485 0.186886
1.028 0.94 0.591085 0.36 0.120521
1.031 0.905 0.560353 0.105 0.0452125
1.033 0.755 0.492172 -0.165 -0.0316296
1.036 0.49 0.395768 -0.35 -0.10862
1.039 0.165 0.276125 -0.45 -0.186384
1.042 -0.11 0.140453 -0.47 -0.260445
1.044 -0.27 -0.00624878 -0.45 -0.325972
1.047 -0.39 -0.147434 -0.395 -0.375683
1.05 -0.45 -0.272059 -0.345 -0.403609
1.053 -0.475 -0.369946 -0.31 -0.407231
1.056 -0.455 -0.438233 -0.295 -0.388333
1.058 -0.425 -0.474699 -0.285 -0.355149
1.061 -0.39 -0.481804 -0.295 -0.321902
1.064 -0.39 -0.467468 -0.295 -0.296185
1.067 -0.385 -0.4415 -0.28 -0.279997
1.069 -0.39 -0.416484 -0.285 -0.27338
1.072 -0.38 -0.398537 -0.285 -0.27346
1.075 -0.38 -0.386301 -0.285 -0.277157
1.078 -0.38 -0.380611 -0.29 -0.28033
1.081 -0.395 -0.379985 -0.275 -0.281407
1.083 -0.385 -0.382231 -0.275 -0.280039
1.086 -0.385 -0.386288 -0.275 -0.278962
1.089 -0.385 -0.39042 -0.27 -0.277957
1.092 -0.375 -0.392934 -0.285 -0.278872
1.094 -0.395 -0.394094 -0.295 -0.280157
1.097 -0.41 -0.394804 -0.29 -0.279546
1.1 -0.41 -0.394938 -0.275 -0.278967
1.103 -0.4 -0.39434 -0.265 -0.278609
1.106 -0.395 -0.393921 -0.265 -0.279047
1.108 -0.39 -0.394702 -0.275 -0.280158
1.111 -0.405 -0.3962 -0.295 -0.279662
1.114 -0.395 -0.396409 -0.29 -0.278862
1.117 -0.385 -0.395748 -0.285 -0.277218
1.119 -0.375 -0.394496 -0.27 -0.275722
1.122 -0.39 -0.393393 -0.265 -0.275386
1.125 -0.39 -0.392808 -0.275 -0.275886
1.128 -0.405 -0.394109 -0.28 -0.276311
1.131 -0.41 -0.395744 -0.28 -0.275389
1.133 -0.41 -0.396981 -0.27 -0.272685
1.136 -0.39 -0.398611 -0.265 -0.270047
1.139 -0.39 -0.40052 -0.27 -0.26943
1.142 -0.395 -0.403406 -0.27 -0.270306
1.144 -0.405 -0.405825 -0.28 -0.271764
1.147 -0.415 -0.407262 -0.27 -0.271726
1.15 -0.4 -0.406067 -0.265 -0.270956
1.153 -0.41 -0.405129 -0.265 -0.269546
1.156 -0.405 -0.405113 -0.265 -0.269637
1.158 -0.41 -0.405567 -0.27 -0.270516
1.161 -0.415 -0.406433 -0.285 -0.270943
1.164 -0.41 -0.407063 -0.285 -0.270374
1.167 -0.4 -0.404335 -0.265 -0.270051
1.169 -0.4 -0.401837 -0.265 -0.270203
1.172 -0.395 -0.40008 -0.255 -0.270798
1.175 -0.39 -0.399063 -0.275 -0.27227
1.178 -0.405 -0.399567 -0.275 -0.273176
1.181 -0.41 -0.397617 -0.28 -0.273047
1.183 -0.39 -0.396061 -0.27 -0.27244
1.186 -0.39 -0.39355 -0.265 -0.272161
1.189 -0.385 -0.392712 -0.275 -0.273679
1.192 -0.385 -0.393406 -0.285 -0.276249
1.194 -0.41 -0.394083 -0.28 -0.278504
1.197 -0.405 -0.394464 -0.28 -0.279264
1.2 -0.395 -0.393588 -0.275 -0.278619
1.203 -0.39 -0.392233 -0.275 -0.277757
1.206 -0.375 -0.391064 -0.275 -0.279407
1.208 -0.39 -0.392471 -0.285 -0.282287
1.211 -0.395 -0.39501 -0.295 -0.284328
1.214 -0.41 -0.395634 -0.295 -0.285497
1.217 -0.4 -0.395757 -0.275 -0.286639
1.219 -0.39 -0.395467 -0.275 -0.287919
1.222 -0.39 -0.395382 -0.285 -0.291116
1.225 -0.385 -0.398202 -0.29 -0.294902
1.228 -0.405 -0.400896 -0.315 -0.297839
1.231 -0.415 -0.4027 -0.315 -0.300789
1.233 -0.415 -0.404807 -0.305 -0.3034
1.236 -0.4 -0.404755 -0.29 -0.30645
1.239 -0.395 -0.406172 -0.31 -0.311821
1.242 -0.405 -0.408089 -0.32 -0.317994
1.244 -0.415 -0.412025 -0.32 -0.324091
1.247 -0.42 -0.414745 -0.335 -0.327846
1.25 -0.42 -0.415592 -0.33 -0.331525
1.253 -0.41 -0.416453 -0.325 -0.335811
1.256 -0.415 -0.417396 -0.345 -0.341229
1.258 -0.425 -0.42068 -0.35 -0.348807
1.261 -0.42 -0.424078 -0.365 -0.356187
1.264 -0.435 -0.427556 -0.37 -0.362113
1.267 -0.43 -0.429818 -0.355 -0.365825
1.269 -0.43 -0.430685 -0.36 -0.369917
1.272 -0.42 -0.433004 -0.37 -0.375552
1.275 -0.43 -0.436317 -0.39 -0.380263
1.278 -0.45 -0.440214 -0.395 -0.385559
1.281 -0.455 -0.443586 -0.4 -0.390464
1.283 -0.45 -0.445029 -0.39 -0.393396
1.286 -0.435 -0.446432 -0.385 -0.397468
1.289 -0.445 -0.44951 -0.39 -0.400791
1.292 -0.45 -0.452344 -0.4 -0.404992
1.294 -0.455 -0.455847 -0.41 -0.408437
1.297 -0.47 -0.458524 -0.42 -0.409201
1.3 -0.46 -0.460451 -0.405 -0.407143
1.303 -0.455 -0.459979 -0.41 -0.405203
1.306 -0.45 -0.460631 -0.41 -0.404457
1.308 -0.455 -0.46185 -0.4 -0.402511
1.311 -0.47 -0.463194 -0.405 -0.398401
1.314 -0.475 -0.462233 -0.39 -0.391481
1.317 -0.46 -0.457999 -0.385 -0.3811
1.319 -0.45 -0.451749 -0.365 -0.368833
1.322 -0.445 -0.445484 -0.355 -0.356829
1.325 -0.44 -0.438318 -0.345 -0.345252
1.328 -0.435 -0.430956 -0.355 -0.334083
1.331 -0.44 -0.420982 -0.33 -0.320464
1.333 -0.41 -0.408854 -0.295 -0.306757
1.336 -0.395 -0.395711 -0.275 -0.293879
1.339 -0.37 -0.383235 -0.27 -0.281254
1.342 -0.365 -0.372597 -0.26 -0.270219
1.344 -0.36 -0.363591 -0.265 -0.258959
1.347 -0.365 -0.354253 -0.265 -0.247972
1.35 -0.34 -0.343924 -0.245 -0.237256
1.353 -0.325 -0.334943 -0.225 -0.227582
1.356 -0.315 -0.327824 -0.21 -0.219691
1.358 -0.32 -0.322914 -0.215 -0.215502
1.361 -0.33 -0.320466 -0.215 -0.210613
1.364 -0.33 -0.318493 -0.205 -0.204532
1.367 -0.32 -0.315396 -0.195 -0.198642
1.369 -0.31 -0.311698 -0.185 -0.193869
1.372 -0.3 -0.310778 -0.185 -0.190396
1.375 -0.3 -0.310124 -0.195 -0.189134
1.378 -0.32 -0.311641 -0.195 -0.189196
1.381 -0.32 -0.312104 -0.195 -0.188513
1.383 -0.315 -0.310569 -0.185 -0.186937
1.386 -0.305 -0.308514 -0.17 -0.185234
1.389 -0.305 -0.308207 -0.185 -0.184742
1.392 -0.295 -0.309228 -0.195 -0.186085
1.394 -0.32 -0.310091 -0.195 -0.186844
1.397 -0.33 -0.311404 -0.195 -0.186911
1.4 -0.305 -0.311411 -0.185 -0.186131
1.403 -0.31 -0.310654 -0.175 -0.185482
1.406 -0.3 -0.309923 -0.175 -0.186113
1.408 -0.3 -0.311378 -0.185 -0.18731
1.411 -0.32 -0.312908 -0.195 -0.188653
1.414 -0.325 -0.31287 -0.195 -0.188995
1.417 -0.31 -0.311749 -0.195 -0.187416
1.419 -0.305 -0.309979 -0.18 -0.186074
1.422 -0.315 -0.30779 -0.185 -0.187406
1.425 -0.305 -0.30832 -0.19 -0.189608
1.428 -0.315 -0.308946 -0.195 -0.191809
1.431 -0.315 -0.308256 -0.195 -0.193141
1.433 -0.31 -0.308066 -0.19 -0.192422
1.436 -0.295 -0.30634 -0.185 -0.191203
1.439 -0.29 -0.305731 -0.185 -0.191577
1.442 -0.305 -0.30636 -0.19 -0.192519
1.444 -0.31 -0.308292 -0.2 -0.192926
1.447 -0.32 -0.308916 -0.215 -0.193684
1.45 -0.315 -0.308915 -0.195 -0.193704
1.453 -0.3 -0.309993 -0.185 -0.192377
1.456 -0.315 -0.31134 -0.185 -0.192854
1.458 -0.315 -0.313867 -0.185 -0.194743
1.461 -0.315 -0.317229 -0.2 -0.19587
1.464 -0.33 -0.320755 -0.205 -0.195549
1.467 -0.315 -0.321752 -0.19 -0.194758
1.469 -0.32 -0.32197 -0.19 -0.195649
1.472 -0.315 -0.323575 -0.2 -0.197066
1.475 -0.325 -0.326157 -0.2 -0.199412
1.478 -0.335 -0.329635 -0.195 -0.203308
1.481 -0.34 -0.332515 -0.22 -0.20433
1.483 -0.335 -0.332836 -0.205 -0.204586
1.486 -0.335 -0.333995 -0.19 -0.204957
1.489 -0.33 -0.335056 -0.2 -0.205871
