Time MLII[mV] V5[mV]
0.431 -0.350 -0.245
0.433 -0.350 -0.250
0.436 -0.325 -0.255
0.439 -0.320 -0.240
0.442 -0.310 -0.250
0.444 -0.310 -0.245
0.447 -0.310 -0.240
0.450 -0.305 -0.240
0.453 -0.285 -0.250
0.456 -0.270 -0.240
0.458 -0.265 -0.245
0.461 -0.265 -0.230
0.464 -0.255 -0.235
0.467 -0.240 -0.230
0.469 -0.220 -0.225
0.472 -0.210 -0.210
0.475 -0.205 -0.205
0.478 -0.190 -0.205
0.481 -0.175 -0.200
0.483 -0.175 -0.205
0.486 -0.165 -0.210
0.489 -0.155 -0.200
0.492 -0.145 -0.200
0.494 -0.130 -0.200
0.497 -0.125 -0.215
0.500 -0.135 -0.225
0.503 -0.125 -0.225
0.506 -0.110 -0.215
0.508 -0.090 -0.215
0.511 -0.105 -0.225
0.514 -0.120 -0.240
0.517 -0.120 -0.260
0.519 -0.120 -0.255
0.522 -0.110 -0.235
0.525 -0.110 -0.230
0.528 -0.130 -0.230
0.531 -0.160 -0.245
0.533 -0.165 -0.255
0.536 -0.170 -0.240
0.539 -0.170 -0.225
0.542 -0.180 -0.215
0.544 -0.205 -0.235
0.547 -0.225 -0.260
0.550 -0.235 -0.265
0.553 -0.245 -0.250
0.556 -0.250 -0.240
0.558 -0.255 -0.235
0.561 -0.265 -0.235
0.564 -0.275 -0.250
0.567 -0.285 -0.260
0.569 -0.295 -0.245
0.572 -0.290 -0.215
0.575 -0.305 -0.215
0.578 -0.315 -0.225
0.581 -0.330 -0.250
0.583 -0.340 -0.225
0.586 -0.325 -0.220
0.589 -0.325 -0.190
0.592 -0.315 -0.185
0.594 -0.310 -0.185
0.597 -0.335 -0.200
0.600 -0.355 -0.205
0.603 -0.355 -0.190
0.606 -0.365 -0.175
0.608 -0.345 -0.175
0.611 -0.345 -0.190
0.614 -0.330 -0.205
0.617 -0.350 -0.205
0.619 -0.355 -0.185
0.622 -0.340 -0.180
0.625 -0.345 -0.195
0.628 -0.345 -0.210
0.631 -0.350 -0.225
0.633 -0.350 -0.225
0.636 -0.350 -0.200
0.639 -0.345 -0.190
0.642 -0.330 -0.205
0.644 -0.340 -0.215
0.647 -0.350 -0.220
0.650 -0.360 -0.210
0.653 -0.350 -0.190
0.656 -0.340 -0.190
0.658 -0.330 -0.215
0.661 -0.320 -0.235
0.664 -0.325 -0.235
0.667 -0.320 -0.235
0.669 -0.325 -0.205
0.672 -0.320 -0.205
0.675 -0.315 -0.225
0.678 -0.325 -0.230
0.681 -0.345 -0.240
0.683 -0.350 -0.235
0.686 -0.330 -0.215
0.689 -0.320 -0.200
0.692 -0.305 -0.220
0.694 -0.305 -0.210
0.697 -0.300 -0.220
0.700 -0.320 -0.210
0.703 -0.325 -0.195
0.706 -0.325 -0.185
0.708 -0.305 -0.185
0.711 -0.290 -0.185
0.714 -0.305 -0.200
0.717 -0.320 -0.190
0.719 -0.325 -0.175
0.722 -0.325 -0.170
0.725 -0.310 -0.185
0.728 -0.310 -0.180
0.731 -0.310 -0.185
0.733 -0.325 -0.190
0.736 -0.310 -0.175
0.739 -0.310 -0.175
0.742 -0.315 -0.185
0.744 -0.310 -0.195
0.747 -0.320 -0.210
0.750 -0.330 -0.200
0.753 -0.320 -0.200
0.756 -0.315 -0.195
0.758 -0.315 -0.215
0.761 -0.315 -0.215
0.764 -0.340 -0.210
0.767 -0.340 -0.210
0.769 -0.325 -0.200
0.772 -0.310 -0.200
0.775 -0.305 -0.200
0.778 -0.320 -0.205
0.781 -0.320 -0.220
0.783 -0.330 -0.225
0.786 -0.330 -0.240
0.789 -0.335 -0.240
0.792 -0.320 -0.235
0.794 -0.320 -0.240
0.797 -0.330 -0.245
0.800 -0.340 -0.245
0.803 -0.345 -0.235
0.806 -0.335 -0.225
0.808 -0.320 -0.235
0.811 -0.330 -0.235
0.814 -0.325 -0.225
0.817 -0.320 -0.220
0.819 -0.325 -0.210
0.822 -0.325 -0.205
0.825 -0.315 -0.210
0.828 -0.315 -0.185
0.831 -0.320 -0.195
0.833 -0.335 -0.195
0.836 -0.335 -0.190
0.839 -0.325 -0.180
0.842 -0.320 -0.180
0.844 -0.330 -0.165
0.847 -0.340 -0.180
0.850 -0.350 -0.190
0.853 -0.330 -0.190
0.856 -0.335 -0.185
0.858 -0.325 -0.200
0.861 -0.310 -0.205
0.864 -0.340 -0.205
0.867 -0.355 -0.220
0.869 -0.335 -0.210
0.872 -0.320 -0.215
0.875 -0.305 -0.205
0.878 -0.310 -0.210
0.881 -0.315 -0.200
0.883 -0.320 -0.210
0.886 -0.350 -0.225
0.889 -0.315 -0.200
0.892 -0.320 -0.195
0.894 -0.320 -0.205
0.897 -0.320 -0.215
0.900 -0.320 -0.220
0.903 -0.320 -0.250
0.906 -0.310 -0.220
0.908 -0.310 -0.225
0.911 -0.315 -0.235
0.914 -0.315 -0.225
0.917 -0.310 -0.230
0.919 -0.295 -0.225
0.922 -0.280 -0.225
0.925 -0.280 -0.235
0.928 -0.290 -0.230
0.931 -0.295 -0.225
0.933 -0.295 -0.235
0.936 -0.285 -0.220
0.939 -0.275 -0.215
0.942 -0.240 -0.210
0.944 -0.220 -0.205
0.947 -0.215 -0.205
0.950 -0.215 -0.185
0.953 -0.175 -0.180
0.956 -0.145 -0.180
0.958 -0.140 -0.185
0.961 -0.150 -0.175
0.964 -0.185 -0.185
0.967 -0.210 -0.190
0.969 -0.215 -0.185
0.972 -0.215 -0.190
0.975 -0.205 -0.190
0.978 -0.210 -0.200
0.981 -0.215 -0.200
0.983 -0.235 -0.215
0.986 -0.255 -0.210
0.989 -0.250 -0.205
0.992 -0.250 -0.215
0.994 -0.240 -0.210
0.997 -0.255 -0.225
1.000 -0.270 -0.215
1.003 -0.275 -0.220
1.006 -0.300 -0.220
1.008 -0.300 -0.220
1.011 -0.325 -0.220
1.014 -0.320 -0.225
1.017 -0.325 -0.225
1.019 -0.315 -0.230
1.022 -0.305 -0.240
1.025 -0.305 -0.245
1.028 -0.315 -0.230
1.031 -0.320 -0.240
1.033 -0.355 -0.260
1.036 -0.350 -0.250
1.039 -0.350 -0.250
1.042 -0.335 -0.255
1.044 -0.320 -0.240
1.047 -0.325 -0.255
1.050 -0.340 -0.245
1.053 -0.350 -0.245
1.056 -0.325 -0.225
1.058 -0.305 -0.220
1.061 -0.310 -0.195
1.064 -0.325 -0.220
1.067 -0.360 -0.215
1.069 -0.355 -0.220
1.072 -0.360 -0.190
1.075 -0.355 -0.175
1.078 -0.360 -0.165
1.081 -0.370 -0.190
1.083 -0.270 -0.185
1.086 -0.085 -0.185
1.089 0.135 -0.185
1.092 0.385 -0.185
1.094 0.690 -0.215
1.097 0.945 -0.265
1.100 1.020 -0.320
1.103 0.890 -0.370
1.106 0.605 -0.390
1.108 0.345 -0.355
1.111 0.115 -0.310
1.114 -0.055 -0.265
1.117 -0.140 -0.230
1.119 -0.185 -0.210
1.122 -0.235 -0.195
1.125 -0.240 -0.195
1.128 -0.250 -0.200
1.131 -0.270 -0.215
1.133 -0.300 -0.225
1.136 -0.315 -0.225
1.139 -0.340 -0.210
1.142 -0.370 -0.215
1.144 -0.380 -0.225
1.147 -0.405 -0.250
1.150 -0.395 -0.250
1.153 -0.385 -0.235
1.156 -0.375 -0.205
1.158 -0.365 -0.215
1.161 -0.375 -0.230
1.164 -0.395 -0.245
1.167 -0.415 -0.245
1.169 -0.420 -0.230
1.172 -0.405 -0.200
1.175 -0.390 -0.205
1.178 -0.410 -0.205
1.181 -0.400 -0.215
1.183 -0.410 -0.195
1.186 -0.390 -0.170
1.189 -0.395 -0.175
1.192 -0.390 -0.175
1.194 -0.395 -0.185
1.197 -0.415 -0.190
1.200 -0.425 -0.180
1.203 -0.420 -0.175
1.206 -0.395 -0.160
1.208 -0.390 -0.180
1.211 -0.400 -0.190
1.214 -0.405 -0.200
1.217 -0.405 -0.195
1.219 -0.395 -0.200
1.222 -0.385 -0.200
1.225 -0.385 -0.190
1.228 -0.385 -0.205
1.231 -0.400 -0.205
1.233 -0.405 -0.200
1.236 -0.405 -0.200
1.239 -0.400 -0.190
1.242 -0.390 -0.205
1.244 -0.385 -0.205
1.247 -0.400 -0.220
1.250 -0.415 -0.220
1.253 -0.405 -0.215
1.256 -0.390 -0.220
1.258 -0.375 -0.230
1.261 -0.370 -0.235
1.264 -0.385 -0.230
1.267 -0.400 -0.230
1.269 -0.385 -0.230
1.272 -0.370 -0.225
1.275 -0.360 -0.225
1.278 -0.365 -0.235
1.281 -0.365 -0.225
1.283 -0.375 -0.225
1.286 -0.380 -0.230
1.289 -0.355 -0.225
1.292 -0.340 -0.215
1.294 -0.340 -0.215
1.297 -0.335 -0.205
1.300 -0.345 -0.195
1.303 -0.335 -0.195
1.306 -0.320 -0.185
1.308 -0.315 -0.185
1.311 -0.330 -0.180
1.314 -0.315 -0.200
1.317 -0.330 -0.190
1.319 -0.315 -0.180
1.322 -0.300 -0.170
1.325 -0.275 -0.175
1.328 -0.255 -0.170
1.331 -0.240 -0.185
1.333 -0.255 -0.195
1.336 -0.245 -0.205
1.339 -0.235 -0.185
1.342 -0.220 -0.205
1.344 -0.210 -0.195
1.347 -0.210 -0.220
1.350 -0.215 -0.215
1.353 -0.205 -0.215
1.356 -0.185 -0.210
1.358 -0.170 -0.215
1.361 -0.150 -0.210
1.364 -0.140 -0.215
1.367 -0.145 -0.230
1.369 -0.140 -0.230
1.372 -0.115 -0.225
1.375 -0.120 -0.230
1.378 -0.125 -0.245
1.381 -0.115 -0.255
1.383 -0.130 -0.270
1.386 -0.120 -0.255
1.389 -0.120 -0.250
1.392 -0.125 -0.250
1.394 -0.115 -0.240
1.397 -0.130 -0.250
1.400 -0.125 -0.260
1.403 -0.125 -0.255
1.406 -0.130 -0.240
1.408 -0.140 -0.225
1.411 -0.160 -0.215
1.414 -0.170 -0.225
1.417 -0.190 -0.220
1.419 -0.195 -0.205
1.422 -0.190 -0.195
1.425 -0.180 -0.185
1.428 -0.195 -0.185
1.431 -0.225 -0.185
1.433 -0.235 -0.190
1.436 -0.240 -0.180
1.439 -0.235 -0.165
1.442 -0.235 -0.165
1.444 -0.240 -0.160
1.447 -0.270 -0.180
1.450 -0.275 -0.185
1.453 -0.280 -0.195
1.456 -0.275 -0.180
1.458 -0.275 -0.175
1.461 -0.280 -0.190
1.464 -0.300 -0.195
1.467 -0.310 -0.195
1.469 -0.310 -0.195
1.472 -0.305 -0.185
1.475 -0.295 -0.165
1.478 -0.295 -0.180
1.481 -0.310 -0.200
1.483 -0.320 -0.200
1.486 -0.305 -0.200
1.489 -0.300 -0.190
1.492 -0.295 -0.185
1.494 -0.315 -0.190
1.497 -0.315 -0.220
1.500 -0.320 -0.230
1.503 -0.305 -0.210
1.506 -0.305 -0.210
1.508 -0.295 -0.200
1.511 -0.310 -0.205
1.514 -0.305 -0.225
1.517 -0.300 -0.230
1.519 -0.305 -0.220
1.522 -0.300 -0.200
1.525 -0.310 -0.180
1.528 -0.295 -0.185
1.531 -0.295 -0.205
1.533 -0.295 -0.205
1.536 -0.290 -0.185
1.539 -0.285 -0.160
1.542 -0.280 -0.160
1.544 -0.275 -0.170
1.547 -0.275 -0.170
1.550 -0.285 -0.170
1.553 -0.290 -0.150
1.556 -0.275 -0.145
1.558 -0.280 -0.150
1.561 -0.270 -0.170
1.564 -0.285 -0.175
1.567 -0.295 -0.175
1.569 -0.295 -0.160
1.572 -0.275 -0.150
1.575 -0.270 -0.165
1.578 -0.265 -0.170
1.581 -0.265 -0.195
1.583 -0.270 -0.190
1.586 -0.265 -0.185
1.589 -0.270 -0.165
1.592 -0.260 -0.160
1.594 -0.260 -0.175
1.597 -0.265 -0.185
1.600 -0.285 -0.185
1.603 -0.285 -0.175
1.606 -0.275 -0.175
1.608 -0.260 -0.185
1.611 -0.265 -0.205
1.614 -0.280 -0.220
1.617 -0.285 -0.215
1.619 -0.280 -0.200
1.622 -0.265 -0.195
1.625 -0.265 -0.205
1.628 -0.265 -0.210
1.631 -0.265 -0.215
1.633 -0.265 -0.210
1.636 -0.270 -0.195
1.639 -0.270 -0.190
1.642 -0.255 -0.195
1.644 -0.265 -0.200
1.647 -0.280 -0.200
1.650 -0.290 -0.185
1.653 -0.280 -0.165
1.656 -0.270 -0.150
1.658 -0.270 -0.155
1.661 -0.265 -0.160
1.664 -0.265 -0.175
1.667 -0.295 -0.165
1.669 -0.280 -0.155
1.672 -0.285 -0.140
1.675 -0.265 -0.155
1.678 -0.265 -0.155
1.681 -0.280 -0.165
1.683 -0.285 -0.160
1.686 -0.285 -0.150
1.689 -0.275 -0.150
1.692 -0.275 -0.170
1.694 -0.275 -0.180
1.697 -0.275 -0.200
1.700 -0.285 -0.180
1.703 -0.285 -0.170
1.706 -0.270 -0.160
1.708 -0.265 -0.180
1.711 -0.270 -0.190
1.714 -0.275 -0.185
1.717 -0.285 -0.190
1.719 -0.280 -0.175
1.722 -0.265 -0.160
1.725 -0.265 -0.180
1.728 -0.275 -0.185
1.731 -0.270 -0.190
1.733 -0.275 -0.200
1.736 -0.275 -0.205
1.739 -0.275 -0.190
1.742 -0.260 -0.190
1.744 -0.265 -0.210
1.747 -0.275 -0.225
1.750 -0.285 -0.225
1.753 -0.280 -0.210
1.756 -0.280 -0.190
1.758 -0.260 -0.200
1.761 -0.270 -0.205
1.764 -0.275 -0.215
1.767 -0.280 -0.220
1.769 -0.280 -0.200
1.772 -0.270 -0.175
1.775 -0.255 -0.165
1.778 -0.225 -0.165
1.781 -0.235 -0.175
1.783 -0.245 -0.175
1.786 -0.240 -0.150
1.789 -0.220 -0.140
1.792 -0.210 -0.145
1.794 -0.215 -0.150
1.797 -0.220 -0.150
1.800 -0.225 -0.160
1.803 -0.235 -0.140
1.806 -0.230 -0.120
1.808 -0.220 -0.140
1.811 -0.190 -0.155
1.814 -0.180 -0.175
1.817 -0.185 -0.185
1.819 -0.150 -0.155
1.822 -0.115 -0.145
1.825 -0.105 -0.155
1.828 -0.100 -0.175
1.831 -0.125 -0.195
1.833 -0.150 -0.190
1.836 -0.155 -0.180
1.839 -0.150 -0.165
1.842 -0.160 -0.175
1.844 -0.175 -0.180
1.847 -0.185 -0.205
1.850 -0.200 -0.200
1.853 -0.190 -0.175
1.856 -0.190 -0.185
1.858 -0.180 -0.200
1.861 -0.195 -0.215
1.864 -0.210 -0.235
1.867 -0.225 -0.230
1.869 -0.220 -0.210
1.872 -0.225 -0.205
1.875 -0.240 -0.205
1.878 -0.240 -0.220
1.881 -0.260 -0.220
1.883 -0.290 -0.230
1.886 -0.285 -0.205
1.889 -0.280 -0.210
1.892 -0.265 -0.210
1.894 -0.275 -0.200
1.897 -0.295 -0.210
1.900 -0.305 -0.200
1.903 -0.295 -0.170
1.906 -0.290 -0.160
1.908 -0.275 -0.160
1.911 -0.285 -0.170
1.914 -0.295 -0.175
1.917 -0.305 -0.190
1.919 -0.320 -0.155
1.922 -0.305 -0.150
1.925 -0.295 -0.155
1.928 -0.300 -0.160
1.931 -0.305 -0.185
1.933 -0.305 -0.180
1.936 -0.295 -0.170
1.939 -0.285 -0.150
1.942 -0.290 -0.155
1.944 -0.310 -0.180
1.947 -0.340 -0.180
1.950 -0.370 -0.185
1.953 -0.365 -0.160
1.956 -0.290 -0.160
1.958 -0.150 -0.160
1.961 0.065 -0.165
1.964 0.295 -0.180
1.967 0.540 -0.190
1.969 0.840 -0.200
1.972 1.085 -0.215
1.975 1.165 -0.265
1.978 1.040 -0.335
1.981 0.765 -0.365
1.983 0.480 -0.350
1.986 0.220 -0.310
1.989 0.015 -0.240
1.992 -0.080 -0.200
1.994 -0.115 -0.190
1.997 -0.185 -0.210
2.000 -0.235 -0.220
2.003 -0.245 -0.200
2.006 -0.235 -0.190
2.008 -0.240 -0.180
2.011 -0.260 -0.180
2.014 -0.300 -0.190
2.017 -0.345 -0.185
2.019 -0.350 -0.160
2.022 -0.365 -0.150
2.025 -0.350 -0.155
2.028 -0.365 -0.150
2.031 -0.375 -0.155
2.033 -0.390 -0.145
2.036 -0.375 -0.130
2.039 -0.370 -0.130
2.042 -0.370 -0.135
2.044 -0.375 -0.140
2.047 -0.385 -0.150
2.050 -0.390 -0.150
2.053 -0.395 -0.135
2.056 -0.400 -0.130
2.058 -0.390 -0.145
2.061 -0.390 -0.160
2.064 -0.400 -0.155
2.067 -0.400 -0.155
2.069 -0.390 -0.165
2.072 -0.385 -0.150
2.075 -0.385 -0.160
2.078 -0.385 -0.155
2.081 -0.395 -0.160
2.083 -0.410 -0.155
2.086 -0.400 -0.160
2.089 -0.390 -0.150
2.092 -0.385 -0.160
2.094 -0.395 -0.160
2.097 -0.395 -0.170
2.100 -0.405 -0.185
2.103 -0.405 -0.180
2.106 -0.390 -0.180
2.108 -0.380 -0.180
2.111 -0.380 -0.190
2.114 -0.395 -0.190
2.117 -0.400 -0.185
2.119 -0.410 -0.185
2.122 -0.390 -0.175
2.125 -0.385 -0.170
2.128 -0.375 -0.170
2.131 -0.385 -0.180
2.133 -0.395 -0.165
2.136 -0.395 -0.155
2.139 -0.390 -0.155
2.142 -0.380 -0.150
2.144 -0.385 -0.135
2.147 -0.390 -0.130
2.150 -0.395 -0.135
2.153 -0.385 -0.125
2.156 -0.375 -0.125
2.158 -0.365 -0.115
2.161 -0.365 -0.120
2.164 -0.370 -0.130
2.167 -0.370 -0.130
2.169 -0.365 -0.130
2.172 -0.350 -0.120
2.175 -0.340 -0.130
2.178 -0.345 -0.125
2.181 -0.345 -0.145
2.183 -0.360 -0.155
2.186 -0.350 -0.155
2.189 -0.320 -0.145
2.192 -0.305 -0.130
2.194 -0.290 -0.140
2.197 -0.300 -0.150
2.200 -0.290 -0.160
2.203 -0.295 -0.155
2.206 -0.280 -0.145
2.208 -0.255 -0.130
2.211 -0.235 -0.150
2.214 -0.245 -0.175
2.217 -0.245 -0.185
2.219 -0.235 -0.185
2.222 -0.225 -0.170
2.225 -0.205 -0.160
2.228 -0.180 -0.165
2.231 -0.180 -0.180
2.233 -0.190 -0.185
2.236 -0.170 -0.185
2.239 -0.155 -0.155
2.242 -0.145 -0.160
2.244 -0.140 -0.170
2.247 -0.150 -0.180
2.250 -0.140 -0.190
2.253 -0.145 -0.165
2.256 -0.135 -0.155
2.258 -0.110 -0.140
2.261 -0.130 -0.130
2.264 -0.125 -0.150
2.267 -0.130 -0.150
2.269 -0.135 -0.145
2.272 -0.120 -0.140
2.275 -0.120 -0.140
2.278 -0.120 -0.125
2.281 -0.145 -0.145
2.283 -0.165 -0.150
2.286 -0.170 -0.140
2.289 -0.175 -0.120
2.292 -0.175 -0.120
2.294 -0.190 -0.130
2.297 -0.215 -0.150
2.300 -0.225 -0.155
2.303 -0.235 -0.150
2.306 -0.250 -0.135
2.308 -0.245 -0.135
2.311 -0.265 -0.150
2.314 -0.270 -0.155
2.317 -0.295 -0.150
2.319 -0.315 -0.130
2.322 -0.305 -0.120
2.325 -0.295 -0.120
2.328 -0.300 -0.125
2.331 -0.315 -0.145
2.333 -0.325 -0.155
2.336 -0.325 -0.150
2.339 -0.325 -0.135
2.342 -0.325 -0.145
2.344 -0.330 -0.160
2.347 -0.340 -0.165
2.350 -0.355 -0.170
2.353 -0.360 -0.160
2.356 -0.350 -0.145
2.358 -0.335 -0.135
2.361 -0.355 -0.155
2.364 -0.360 -0.165
2.367 -0.365 -0.160
2.369 -0.365 -0.145
2.372 -0.345 -0.125
2.375 -0.350 -0.120
2.378 -0.360 -0.110
2.381 -0.360 -0.125
2.383 -0.355 -0.115
2.386 -0.350 -0.115
2.389 -0.345 -0.095
2.392 -0.335 -0.095
2.394 -0.345 -0.100
2.397 -0.365 -0.115
2.400 -0.375 -0.115
2.403 -0.365 -0.090
2.406 -0.350 -0.085
2.408 -0.355 -0.090
2.411 -0.345 -0.105
2.414 -0.350 -0.125
2.417 -0.350 -0.125
2.419 -0.355 -0.105
2.422 -0.345 -0.110
2.425 -0.330 -0.120
2.428 -0.325 -0.125
2.431 -0.330 -0.140
2.433 -0.350 -0.145
2.436 -0.350 -0.125
2.439 -0.350 -0.110
2.442 -0.340 -0.120
2.444 -0.340 -0.120
2.447 -0.350 -0.125
2.450 -0.355 -0.145
2.453 -0.345 -0.135
2.456 -0.335 -0.130
2.458 -0.330 -0.145
2.461 -0.340 -0.140
2.464 -0.340 -0.175
2.467 -0.350 -0.180
2.469 -0.340 -0.150
2.472 -0.325 -0.135
2.475 -0.325 -0.135
2.478 -0.320 -0.145
2.481 -0.340 -0.165
2.483 -0.355 -0.165
2.486 -0.360 -0.160
2.489 -0.355 -0.135
2.492 -0.345 -0.120
2.494 -0.330 -0.135
2.497 -0.335 -0.140
2.500 -0.345 -0.140
2.503 -0.345 -0.125
2.506 -0.350 -0.120
2.508 -0.330 -0.100
2.511 -0.330 -0.095
2.514 -0.345 -0.100
2.517 -0.345 -0.115
2.519 -0.350 -0.105
2.522 -0.340 -0.085
2.525 -0.345 -0.070
2.528 -0.345 -0.080
2.531 -0.345 -0.115
2.533 -0.350 -0.125
2.536 -0.345 -0.115
2.539 -0.345 -0.095
2.542 -0.335 -0.105
2.544 -0.355 -0.110
2.547 -0.360 -0.110
2.550 -0.365 -0.140
2.553 -0.365 -0.140
2.556 -0.360 -0.120
2.558 -0.350 -0.105
2.561 -0.355 -0.110
2.564 -0.355 -0.115
2.567 -0.355 -0.125
2.569 -0.350 -0.130
2.572 -0.345 -0.105
2.575 -0.340 -0.115
2.578 -0.355 -0.115
2.581 -0.370 -0.135
2.583 -0.380 -0.145
2.586 -0.380 -0.140
2.589 -0.375 -0.130
2.592 -0.365 -0.130
2.594 -0.360 -0.140
2.597 -0.355 -0.155
2.600 -0.355 -0.165
2.603 -0.365 -0.160
2.606 -0.365 -0.135
2.608 -0.345 -0.115
2.611 -0.340 -0.120
2.614 -0.360 -0.145
2.617 -0.385 -0.150
2.619 -0.380 -0.150
2.622 -0.360 -0.110
2.625 -0.345 -0.105
2.628 -0.345 -0.105
2.631 -0.365 -0.105
2.633 -0.375 -0.110
2.636 -0.385 -0.110
2.639 -0.355 -0.090
2.642 -0.350 -0.070
2.644 -0.350 -0.080
2.647 -0.360 -0.100
2.650 -0.370 -0.105
2.653 -0.370 -0.100
2.656 -0.355 -0.075
2.658 -0.350 -0.075
2.661 -0.350 -0.095
2.664 -0.365 -0.105
2.667 -0.365 -0.115
2.669 -0.360 -0.110
2.672 -0.335 -0.105
2.675 -0.325 -0.090
2.678 -0.330 -0.105
2.681 -0.325 -0.105
2.683 -0.330 -0.110
2.686 -0.315 -0.115
2.689 -0.305 -0.095
2.692 -0.310 -0.085
2.694 -0.320 -0.100
2.697 -0.325 -0.125
2.700 -0.320 -0.130
2.703 -0.310 -0.130
2.706 -0.280 -0.105
2.708 -0.265 -0.120
2.711 -0.245 -0.125
2.714 -0.240 -0.145
2.717 -0.230 -0.155
2.719 -0.230 -0.145
2.722 -0.225 -0.115
2.725 -0.220 -0.115
2.728 -0.235 -0.125
2.731 -0.250 -0.140
2.733 -0.265 -0.165
2.736 -0.275 -0.150
2.739 -0.255 -0.130
2.742 -0.260 -0.110
2.744 -0.255 -0.110
2.747 -0.270 -0.120
2.750 -0.300 -0.110
2.753 -0.315 -0.100
2.756 -0.315 -0.095
2.758 -0.320 -0.085
2.761 -0.325 -0.080
2.764 -0.335 -0.090
2.767 -0.355 -0.100
2.769 -0.365 -0.095
2.772 -0.365 -0.085
