Time	MLII [mV]	V5 [mV]
0.517	-0.355	-0.270
0.519	-0.330	-0.245
0.522	-0.325	-0.240
0.525	-0.325	-0.250
0.528	-0.335	-0.250
0.531	-0.340	-0.235
0.533	-0.315	-0.220
0.536	-0.300	-0.195
0.539	-0.300	-0.190
0.542	-0.290	-0.190
0.544	-0.295	-0.190
0.547	-0.290	-0.180
0.550	-0.285	-0.160
0.553	-0.275	-0.145
0.556	-0.255	-0.150
0.558	-0.250	-0.160
0.561	-0.250	-0.160
0.564	-0.265	-0.155
0.567	-0.255	-0.145
0.569	-0.245	-0.140
0.572	-0.230	-0.160
0.575	-0.245	-0.150
0.578	-0.245	-0.175
0.581	-0.255	-0.170
0.583	-0.255	-0.160
0.586	-0.240	-0.160
0.589	-0.250	-0.150
0.592	-0.255	-0.155
0.594	-0.245	-0.160
0.597	-0.255	-0.170
0.600	-0.250	-0.155
0.603	-0.250	-0.155
0.606	-0.265	-0.150
0.608	-0.260	-0.165
0.611	-0.260	-0.175
0.614	-0.265	-0.165
0.617	-0.270	-0.165
0.619	-0.265	-0.160
0.622	-0.260	-0.160
0.625	-0.275	-0.180
0.628	-0.280	-0.175
0.631	-0.290	-0.185
0.633	-0.275	-0.165
0.636	-0.270	-0.150
0.639	-0.260	-0.150
0.642	-0.280	-0.170
0.644	-0.280	-0.185
0.647	-0.285	-0.195
0.650	-0.275	-0.190
0.653	-0.275	-0.190
0.656	-0.265	-0.185
0.658	-0.270	-0.190
0.661	-0.285	-0.210
0.664	-0.290	-0.195
0.667	-0.280	-0.190
0.669	-0.275	-0.180
0.672	-0.285	-0.205
0.675	-0.280	-0.215
0.678	-0.300	-0.225
0.681	-0.300	-0.210
0.683	-0.305	-0.205
0.686	-0.295	-0.195
0.689	-0.300	-0.200
0.692	-0.310	-0.195
0.694	-0.310	-0.210
0.697	-0.305	-0.215
0.700	-0.295	-0.205
0.703	-0.285	-0.185
0.706	-0.285	-0.195
0.708	-0.290	-0.195
0.711	-0.295	-0.220
0.714	-0.310	-0.220
0.717	-0.290	-0.210
0.719	-0.295	-0.215
0.722	-0.300	-0.220
0.725	-0.305	-0.220
0.728	-0.310	-0.225
0.731	-0.325	-0.210
0.733	-0.310	-0.200
0.736	-0.300	-0.210
0.739	-0.290	-0.225
0.742	-0.310	-0.230
0.744	-0.325	-0.225
0.747	-0.330	-0.220
0.750	-0.315	-0.230
0.753	-0.300	-0.210
0.756	-0.305	-0.215
0.758	-0.310	-0.215
0.761	-0.320	-0.230
0.764	-0.330	-0.215
0.767	-0.325	-0.220
0.769	-0.315	-0.205
0.772	-0.310	-0.205
0.775	-0.305	-0.210
0.778	-0.305	-0.215
0.781	-0.310	-0.225
0.783	-0.300	-0.215
0.786	-0.305	-0.215
0.789	-0.290	-0.215
0.792	-0.300	-0.225
0.794	-0.300	-0.225
0.797	-0.305	-0.225
0.800	-0.305	-0.205
0.803	-0.290	-0.195
0.806	-0.280	-0.210
0.808	-0.295	-0.210
0.811	-0.305	-0.215
0.814	-0.315	-0.235
0.817	-0.305	-0.230
0.819	-0.295	-0.220
0.822	-0.290	-0.220
0.825	-0.280	-0.230
0.828	-0.270	-0.225
0.831	-0.275	-0.230
0.833	-0.275	-0.215
0.836	-0.270	-0.195
0.839	-0.250	-0.195
0.842	-0.250	-0.190
0.844	-0.255	-0.200
0.847	-0.225	-0.195
0.850	-0.220	-0.180
0.853	-0.205	-0.170
0.856	-0.200	-0.180
0.858	-0.205	-0.175
0.861	-0.215	-0.195
0.864	-0.230	-0.195
0.867	-0.220	-0.170
0.869	-0.225	-0.175
0.872	-0.225	-0.175
0.875	-0.225	-0.180
0.878	-0.230	-0.185
0.881	-0.235	-0.185
0.883	-0.240	-0.175
0.886	-0.235	-0.175
0.889	-0.220	-0.175
0.892	-0.210	-0.190
0.894	-0.205	-0.205
0.897	-0.245	-0.200
0.900	-0.285	-0.205
0.903	-0.285	-0.205
0.906	-0.300	-0.215
0.908	-0.310	-0.215
0.911	-0.330	-0.225
0.914	-0.330	-0.215
0.917	-0.325	-0.210
0.919	-0.315	-0.200
0.922	-0.320	-0.215
0.925	-0.315	-0.225
0.928	-0.325	-0.245
0.931	-0.340	-0.245
0.933	-0.345	-0.250
0.936	-0.340	-0.225
0.939	-0.340	-0.230
0.942	-0.350	-0.235
0.944	-0.345	-0.240
0.947	-0.355	-0.235
0.950	-0.330	-0.235
0.953	-0.335	-0.220
0.956	-0.330	-0.230
0.958	-0.320	-0.240
0.961	-0.345	-0.240
0.964	-0.355	-0.245
0.967	-0.340	-0.225
0.969	-0.330	-0.225
0.972	-0.325	-0.235
0.975	-0.330	-0.250
0.978	-0.350	-0.270
0.981	-0.365	-0.280
0.983	-0.360	-0.290
0.986	-0.380	-0.300
0.989	-0.425	-0.330
0.992	-0.445	-0.360
0.994	-0.475	-0.355
0.997	-0.510	-0.305
1.000	-0.535	-0.205
1.003	-0.505	-0.080
1.006	-0.415	0.015
1.008	-0.300	0.065
1.011	-0.160	0.115
1.014	-0.015	0.190
1.017	0.235	0.300
1.019	0.490	0.410
1.022	0.720	0.495
1.025	0.875	0.485
1.028	0.940	0.360
1.031	0.905	0.105
1.033	0.755	-0.165
1.036	0.490	-0.350
1.039	0.165	-0.450
1.042	-0.110	-0.470
1.044	-0.270	-0.450
1.047	-0.390	-0.395
1.050	-0.450	-0.345
1.053	-0.475	-0.310
1.056	-0.455	-0.295
1.058	-0.425	-0.285
1.061	-0.390	-0.295
1.064	-0.390	-0.295
1.067	-0.385	-0.280
1.069	-0.390	-0.285
1.072	-0.380	-0.285
1.075	-0.380	-0.285
1.078	-0.380	-0.290
1.081	-0.395	-0.275
1.083	-0.385	-0.275
1.086	-0.385	-0.275
1.089	-0.385	-0.270
1.092	-0.375	-0.285
1.094	-0.395	-0.295
1.097	-0.410	-0.290
1.100	-0.410	-0.275
1.103	-0.400	-0.265
1.106	-0.395	-0.265
1.108	-0.390	-0.275
1.111	-0.405	-0.295
1.114	-0.395	-0.290
1.117	-0.385	-0.285
1.119	-0.375	-0.270
1.122	-0.390	-0.265
1.125	-0.390	-0.275
1.128	-0.405	-0.280
1.131	-0.410	-0.280
1.133	-0.410	-0.270
1.136	-0.390	-0.265
1.139	-0.390	-0.270
1.142	-0.395	-0.270
1.144	-0.405	-0.280
1.147	-0.415	-0.270
1.150	-0.400	-0.265
1.153	-0.410	-0.265
1.156	-0.405	-0.265
1.158	-0.410	-0.270
1.161	-0.415	-0.285
1.164	-0.410	-0.285
1.167	-0.400	-0.265
1.169	-0.400	-0.265
1.172	-0.395	-0.255
1.175	-0.390	-0.275
1.178	-0.405	-0.275
1.181	-0.410	-0.280
1.183	-0.390	-0.270
1.186	-0.390	-0.265
1.189	-0.385	-0.275
1.192	-0.385	-0.285
1.194	-0.410	-0.280
1.197	-0.405	-0.280
1.200	-0.395	-0.275
1.203	-0.390	-0.275
1.206	-0.375	-0.275
1.208	-0.390	-0.285
1.211	-0.395	-0.295
1.214	-0.410	-0.295
1.217	-0.400	-0.275
1.219	-0.390	-0.275
1.222	-0.390	-0.285
1.225	-0.385	-0.290
1.228	-0.405	-0.315
1.231	-0.415	-0.315
1.233	-0.415	-0.305
1.236	-0.400	-0.290
1.239	-0.395	-0.310
1.242	-0.405	-0.320
1.244	-0.415	-0.320
1.247	-0.420	-0.335
1.250	-0.420	-0.330
1.253	-0.410	-0.325
1.256	-0.415	-0.345
1.258	-0.425	-0.350
1.261	-0.420	-0.365
1.264	-0.435	-0.370
1.267	-0.430	-0.355
1.269	-0.430	-0.360
1.272	-0.420	-0.370
1.275	-0.430	-0.390
1.278	-0.450	-0.395
1.281	-0.455	-0.400
1.283	-0.450	-0.390
1.286	-0.435	-0.385
1.289	-0.445	-0.390
1.292	-0.450	-0.400
1.294	-0.455	-0.410
1.297	-0.470	-0.420
1.300	-0.460	-0.405
1.303	-0.455	-0.410
1.306	-0.450	-0.410
1.308	-0.455	-0.400
1.311	-0.470	-0.405
1.314	-0.475	-0.390
1.317	-0.460	-0.385
1.319	-0.450	-0.365
1.322	-0.445	-0.355
1.325	-0.440	-0.345
1.328	-0.435	-0.355
1.331	-0.440	-0.330
1.333	-0.410	-0.295
1.336	-0.395	-0.275
1.339	-0.370	-0.270
1.342	-0.365	-0.260
1.344	-0.360	-0.265
1.347	-0.365	-0.265
1.350	-0.340	-0.245
1.353	-0.325	-0.225
1.356	-0.315	-0.210
1.358	-0.320	-0.215
1.361	-0.330	-0.215
1.364	-0.330	-0.205
1.367	-0.320	-0.195
1.369	-0.310	-0.185
1.372	-0.300	-0.185
1.375	-0.300	-0.195
1.378	-0.320	-0.195
1.381	-0.320	-0.195
1.383	-0.315	-0.185
1.386	-0.305	-0.170
1.389	-0.305	-0.185
1.392	-0.295	-0.195
1.394	-0.320	-0.195
1.397	-0.330	-0.195
1.400	-0.305	-0.185
1.403	-0.310	-0.175
1.406	-0.300	-0.175
1.408	-0.300	-0.185
1.411	-0.320	-0.195
1.414	-0.325	-0.195
1.417	-0.310	-0.195
1.419	-0.305	-0.180
1.422	-0.315	-0.185
1.425	-0.305	-0.190
1.428	-0.315	-0.195
1.431	-0.315	-0.195
1.433	-0.310	-0.190
1.436	-0.295	-0.185
1.439	-0.290	-0.185
1.442	-0.305	-0.190
1.444	-0.310	-0.200
1.447	-0.320	-0.215
1.450	-0.315	-0.195
1.453	-0.300	-0.185
1.456	-0.315	-0.185
1.458	-0.315	-0.185
1.461	-0.315	-0.200
1.464	-0.330	-0.205
1.467	-0.315	-0.190
1.469	-0.320	-0.190
1.472	-0.315	-0.200
1.475	-0.325	-0.200
1.478	-0.335	-0.195
1.481	-0.340	-0.220
1.483	-0.335	-0.205
1.486	-0.335	-0.190
1.489	-0.330	-0.200
1.492	-0.325	-0.220
1.494	-0.345	-0.230
1.497	-0.350	-0.210
1.500	-0.345	-0.205
1.503	-0.335	-0.200
1.506	-0.330	-0.195
1.508	-0.330	-0.220
1.511	-0.345	-0.225
1.514	-0.345	-0.225
1.517	-0.345	-0.215
1.519	-0.320	-0.205
1.522	-0.330	-0.205
1.525	-0.335	-0.215
1.528	-0.340	-0.225
1.531	-0.355	-0.220
1.533	-0.335	-0.225
1.536	-0.330	-0.195
1.539	-0.330	-0.215
1.542	-0.335	-0.220
1.544	-0.355	-0.215
1.547	-0.360	-0.225
1.550	-0.355	-0.215
1.553	-0.350	-0.210
1.556	-0.340	-0.210
1.558	-0.345	-0.225
1.561	-0.345	-0.230
1.564	-0.345	-0.220
1.567	-0.345	-0.210
1.569	-0.330	-0.205
1.572	-0.330	-0.200
1.575	-0.335	-0.205
1.578	-0.345	-0.220
1.581	-0.350	-0.230
1.583	-0.350	-0.215
1.586	-0.340	-0.205
1.589	-0.330	-0.200
1.592	-0.345	-0.230
1.594	-0.345	-0.220
1.597	-0.355	-0.215
1.600	-0.350	-0.205
1.603	-0.340	-0.200
1.606	-0.330	-0.205
1.608	-0.340	-0.220
1.611	-0.340	-0.220
1.614	-0.340	-0.225
1.617	-0.330	-0.205
1.619	-0.335	-0.200
1.622	-0.330	-0.200
1.625	-0.335	-0.210
1.628	-0.345	-0.230
1.631	-0.345	-0.215
1.633	-0.340	-0.200
1.636	-0.330	-0.200
1.639	-0.315	-0.205
1.642	-0.295	-0.210
1.644	-0.300	-0.215
1.647	-0.295	-0.220
1.650	-0.285	-0.205
1.653	-0.275	-0.200
1.656	-0.265	-0.195
1.658	-0.265	-0.205
1.661	-0.265	-0.205
1.664	-0.255	-0.205
1.667	-0.250	-0.180
1.669	-0.240	-0.170
1.672	-0.225	-0.190
1.675	-0.215	-0.190
1.678	-0.240	-0.200
1.681	-0.245	-0.185
1.683	-0.240	-0.165
1.686	-0.245	-0.145
1.689	-0.235	-0.145
1.692	-0.245	-0.170
1.694	-0.250	-0.175
1.697	-0.275	-0.170
1.700	-0.275	-0.165
1.703	-0.265	-0.150
1.706	-0.250	-0.160
1.708	-0.225	-0.175
1.711	-0.220	-0.190
1.714	-0.230	-0.190
1.717	-0.265	-0.185
1.719	-0.270	-0.185
1.722	-0.280	-0.175
1.725	-0.285	-0.195
1.728	-0.305	-0.215
1.731	-0.320	-0.205
1.733	-0.340	-0.200
1.736	-0.330	-0.195
1.739	-0.335	-0.205
1.742	-0.335	-0.210
1.744	-0.355	-0.220
1.747	-0.370	-0.215
1.750	-0.360	-0.210
1.753	-0.345	-0.205
1.756	-0.350	-0.200
1.758	-0.355	-0.210
1.761	-0.365	-0.220
1.764	-0.375	-0.220
1.767	-0.380	-0.220
1.769	-0.370	-0.200
1.772	-0.365	-0.205
1.775	-0.365	-0.215
1.778	-0.380	-0.225
1.781	-0.385	-0.220
1.783	-0.380	-0.215
1.786	-0.375	-0.205
1.789	-0.355	-0.220
1.792	-0.370	-0.225
1.794	-0.390	-0.240
1.797	-0.405	-0.260
1.800	-0.410	-0.280
1.803	-0.435	-0.300
1.806	-0.465	-0.345
1.808	-0.490	-0.375
1.811	-0.520	-0.345
1.814	-0.555	-0.260
1.817	-0.570	-0.125
1.819	-0.525	0.025
1.822	-0.405	0.145
1.825	-0.250	0.260
1.828	-0.090	0.375
1.831	0.120	0.505
1.833	0.410	0.635
1.836	0.690	0.705
1.839	0.885	0.610
1.842	0.960	0.320
1.844	0.850	-0.045
1.847	0.520	-0.250
1.850	0.050	-0.270
1.853	-0.320	-0.240
1.856	-0.500	-0.240
1.858	-0.505	-0.250
1.861	-0.445	-0.255
1.864	-0.415	-0.245
1.867	-0.395	-0.245
1.869	-0.390	-0.245
1.872	-0.395	-0.255
1.875	-0.390	-0.260
1.878	-0.395	-0.260
1.881	-0.405	-0.270
1.883	-0.395	-0.245
1.886	-0.405	-0.245
1.889	-0.390	-0.250
1.892	-0.395	-0.265
1.894	-0.395	-0.270
1.897	-0.410	-0.270
1.900	-0.405	-0.265
1.903	-0.400	-0.260
1.906	-0.400	-0.260
1.908	-0.415	-0.270
1.911	-0.405	-0.280
1.914	-0.420	-0.280
1.917	-0.415	-0.270
1.919	-0.405	-0.255
1.922	-0.405	-0.265
1.925	-0.420	-0.280
1.928	-0.420	-0.290
1.931	-0.435	-0.275
1.933	-0.420	-0.265
1.936	-0.410	-0.255
1.939	-0.410	-0.260
1.942	-0.405	-0.260
1.944	-0.425	-0.280
1.947	-0.430	-0.280
1.950	-0.420	-0.265
1.953	-0.415	-0.260
1.956	-0.410	-0.255
1.958	-0.410	-0.260
1.961	-0.425	-0.275
1.964	-0.420	-0.270
1.967	-0.400	-0.275
1.969	-0.395	-0.265
1.972	-0.400	-0.265
1.975	-0.400	-0.270
1.978	-0.395	-0.280
1.981	-0.415	-0.285
1.983	-0.405	-0.280
1.986	-0.390	-0.255
1.989	-0.400	-0.270
1.992	-0.400	-0.280
1.994	-0.415	-0.290
1.997	-0.425	-0.290
2.000	-0.425	-0.270
2.003	-0.415	-0.270
2.006	-0.415	-0.285
2.008	-0.410	-0.300
2.011	-0.425	-0.300
2.014	-0.425	-0.300
2.017	-0.420	-0.295
2.019	-0.415	-0.275
2.022	-0.400	-0.295
2.025	-0.400	-0.300
2.028	-0.410	-0.310
2.031	-0.425	-0.310
2.033	-0.410	-0.315
2.036	-0.405	-0.310
2.039	-0.395	-0.310
2.042	-0.400	-0.335
2.044	-0.400	-0.345
2.047	-0.405	-0.355
2.050	-0.385	-0.350
2.053	-0.400	-0.345
2.056	-0.390	-0.360
2.058	-0.390	-0.370
2.061	-0.400	-0.375
2.064	-0.415	-0.385
2.067	-0.405	-0.370
2.069	-0.405	-0.370
2.072	-0.410	-0.385
2.075	-0.415	-0.400
2.078	-0.420	-0.415
2.081	-0.420	-0.405
2.083	-0.425	-0.410
2.086	-0.415	-0.390
2.089	-0.415	-0.405
2.092	-0.410	-0.410
2.094	-0.435	-0.425
2.097	-0.430	-0.420
2.100	-0.435	-0.410
2.103	-0.420	-0.405
2.106	-0.420	-0.400
2.108	-0.420	-0.400
2.111	-0.420	-0.405
2.114	-0.425	-0.385
2.117	-0.425	-0.365
2.119	-0.415	-0.345
2.122	-0.395	-0.335
2.125	-0.395	-0.325
2.128	-0.390	-0.310
2.131	-0.375	-0.295
2.133	-0.360	-0.275
2.136	-0.340	-0.255
2.139	-0.335	-0.250
2.142	-0.330	-0.240
2.144	-0.335	-0.245
2.147	-0.335	-0.230
2.150	-0.325	-0.205
2.153	-0.320	-0.200
2.156	-0.305	-0.200
2.158	-0.305	-0.205
2.161	-0.315	-0.210
2.164	-0.310	-0.220
2.167	-0.305	-0.195
2.169	-0.300	-0.190
2.172	-0.300	-0.200
2.175	-0.300	-0.200
2.178	-0.310	-0.210
2.181	-0.310	-0.200
2.183	-0.310	-0.190
2.186	-0.315	-0.175
2.189	-0.300	-0.200
2.192	-0.305	-0.205
2.194	-0.315	-0.210
2.197	-0.320	-0.200
2.200	-0.325	-0.200
2.203	-0.310	-0.180
2.206	-0.305	-0.190
2.208	-0.305	-0.190
2.211	-0.320	-0.205
2.214	-0.325	-0.205
2.217	-0.305	-0.195
2.219	-0.310	-0.185
2.222	-0.295	-0.190
2.225	-0.310	-0.190
2.228	-0.325	-0.210
2.231	-0.330	-0.210
2.233	-0.320	-0.205
2.236	-0.320	-0.205
2.239	-0.320	-0.200
2.242	-0.325	-0.215
2.244	-0.350	-0.225
2.247	-0.350	-0.210
2.250	-0.340	-0.210
2.253	-0.335	-0.210
2.256	-0.330	-0.215
2.258	-0.335	-0.225
2.261	-0.340	-0.225
2.264	-0.360	-0.230
2.267	-0.350	-0.210
2.269	-0.350	-0.210
2.272	-0.355	-0.230
2.275	-0.360	-0.250
2.278	-0.355	-0.250
2.281	-0.365	-0.245
2.283	-0.355	-0.230
2.286	-0.350	-0.215
2.289	-0.340	-0.230
2.292	-0.355	-0.240
2.294	-0.350	-0.245
2.297	-0.365	-0.245
2.300	-0.365	-0.240
2.303	-0.350	-0.215
2.306	-0.355	-0.225
2.308	-0.350	-0.240
2.311	-0.370	-0.240
2.314	-0.380	-0.245
2.317	-0.370	-0.240
2.319	-0.360	-0.230
2.322	-0.365	-0.235
2.325	-0.360	-0.240
2.328	-0.365	-0.230
2.331	-0.380	-0.250
2.333	-0.370	-0.225
2.336	-0.365	-0.215
2.339	-0.350	-0.230
2.342	-0.350	-0.240
2.344	-0.350	-0.250
2.347	-0.370	-0.265
2.350	-0.365	-0.230
2.353	-0.345	-0.220
2.356	-0.345	-0.235
2.358	-0.340	-0.225
2.361	-0.355	-0.235
2.364	-0.365	-0.235
2.367	-0.360	-0.225
2.369	-0.355	-0.225
2.372	-0.355	-0.215
2.375	-0.355	-0.225
2.378	-0.375	-0.235
2.381	-0.385	-0.230
2.383	-0.355	-0.225
2.386	-0.360	-0.225
2.389	-0.355	-0.225
2.392	-0.360	-0.225
2.394	-0.360	-0.230
2.397	-0.370	-0.230
2.400	-0.360	-0.215
2.403	-0.345	-0.210
2.406	-0.355	-0.225
2.408	-0.345	-0.240
2.411	-0.345	-0.235
2.414	-0.345	-0.240
2.417	-0.340	-0.225
2.419	-0.310	-0.215
2.422	-0.305	-0.220
2.425	-0.305	-0.220
2.428	-0.310	-0.230
2.431	-0.305	-0.230
2.433	-0.290	-0.205
2.436	-0.285	-0.200
2.439	-0.275	-0.205
2.442	-0.280	-0.195
2.444	-0.280	-0.210
2.447	-0.275	-0.205
2.450	-0.265	-0.190
2.453	-0.255	-0.185
2.456	-0.245	-0.200
2.458	-0.260	-0.195
2.461	-0.265	-0.200
2.464	-0.275	-0.190
2.467	-0.280	-0.170
2.469	-0.265	-0.140
2.472	-0.270	-0.165
2.475	-0.275	-0.165
2.478	-0.280	-0.185
2.481	-0.275	-0.180
2.483	-0.280	-0.170
2.486	-0.275	-0.150
2.489	-0.265	-0.165
2.492	-0.255	-0.180
2.494	-0.240	-0.200
2.497	-0.260	-0.210
2.500	-0.280	-0.210
2.503	-0.310	-0.185
2.506	-0.310	-0.190
2.508	-0.345	-0.200
2.511	-0.360	-0.215
2.514	-0.380	-0.220
2.517	-0.385	-0.210
2.519	-0.380	-0.195
2.522	-0.370	-0.205
2.525	-0.375	-0.220
2.528	-0.385	-0.225
2.531	-0.390	-0.230
2.533	-0.395	-0.220
2.536	-0.385	-0.210
2.539	-0.385	-0.210
2.542	-0.385	-0.230
2.544	-0.395	-0.235
2.547	-0.405	-0.230
2.550	-0.400	-0.225
2.553	-0.375	-0.215
2.556	-0.375	-0.220
2.558	-0.390	-0.220
2.561	-0.395	-0.230
2.564	-0.415	-0.240
2.567	-0.405	-0.220
2.569	-0.400	-0.225
2.572	-0.390	-0.235
2.575	-0.405	-0.250
2.578	-0.425	-0.280
2.581	-0.460	-0.305
2.583	-0.475	-0.325
2.586	-0.505	-0.345
2.589	-0.510	-0.375
2.592	-0.525	-0.415
2.594	-0.540	-0.425
2.597	-0.600	-0.385
2.600	-0.645	-0.295
2.603	-0.630	-0.180
2.606	-0.575	-0.065
2.608	-0.495	0.035
2.611	-0.385	0.130
2.614	-0.270	0.240
2.617	-0.115	0.370
2.619	0.090	0.495
2.622	0.370	0.610
2.625	0.635	0.655
2.628	0.810	0.545
2.631	0.860	0.230
2.633	0.770	-0.105
2.636	0.475	-0.280
2.639	0.065	-0.285
2.642	-0.305	-0.255
2.644	-0.500	-0.255
2.647	-0.520	-0.260
2.650	-0.475	-0.230
2.653	-0.410	-0.220
2.656	-0.390	-0.245
2.658	-0.390	-0.255
2.661	-0.400	-0.260
2.664	-0.410	-0.250
2.667	-0.405	-0.235
2.669	-0.385	-0.245
2.672	-0.390	-0.245
2.675	-0.395	-0.260
2.678	-0.405	-0.265
2.681	-0.410	-0.265
2.683	-0.405	-0.260
2.686	-0.400	-0.240
2.689	-0.390	-0.245
2.692	-0.395	-0.260
2.694	-0.410	-0.270
2.697	-0.415	-0.270
2.700	-0.410	-0.255
2.703	-0.395	-0.255
2.706	-0.405	-0.250
2.708	-0.410	-0.265
2.711	-0.405	-0.270
2.714	-0.405	-0.270
2.717	-0.410	-0.265
2.719	-0.390	-0.250
2.722	-0.385	-0.245
2.725	-0.390	-0.265
2.728	-0.395	-0.270
2.731	-0.400	-0.260
2.733	-0.400	-0.255
2.736	-0.400	-0.245
2.739	-0.395	-0.250
2.742	-0.395	-0.260
2.744	-0.405	-0.270
2.747	-0.405	-0.260
2.750	-0.400	-0.255
2.753	-0.395	-0.250
2.756	-0.385	-0.255
2.758	-0.375	-0.255
2.761	-0.385	-0.275
2.764	-0.395	-0.270
2.767	-0.390	-0.265
2.769	-0.385	-0.260
2.772	-0.375	-0.260
2.775	-0.385	-0.275
2.778	-0.395	-0.270
2.781	-0.395	-0.260
